DCA	Removing	Predicted-label	Prob-class0	Prob-class1
All	NA	1	7.4237902643048415e-06	0.9999925762097357
http://purl.obolibrary.org/obo/GO_0016020	True	1	1.4661808139804222e-06	0.999998533819186
http://purl.obolibrary.org/obo/GO_0016020	False	0	0.9999999922855273	7.714472763356386e-09
http://purl.obolibrary.org/obo/GO_0003735	True	1	2.0255370833832664e-05	0.9999797446291662
http://purl.obolibrary.org/obo/GO_0003735	False	1	0.001264280794456063	0.9987357192055439
http://purl.obolibrary.org/obo/GO_0006614	True	1	1.828651963164951e-05	0.9999817134803684
http://purl.obolibrary.org/obo/GO_0006614	False	1	1.4672713710695007e-08	0.9999999853272863
http://purl.obolibrary.org/obo/GO_0005515	True	1	3.356155299782948e-06	0.9999966438447002
http://purl.obolibrary.org/obo/GO_0005515	False	0	0.8994021377203697	0.10059786227963029
http://purl.obolibrary.org/obo/GO_0005654	True	1	3.9855658784393455e-06	0.9999960144341216
http://purl.obolibrary.org/obo/GO_0005654	False	0	0.7304848363673686	0.2695151636326314
http://purl.obolibrary.org/obo/GO_0003723	True	1	2.733624723560979e-05	0.9999726637527644
http://purl.obolibrary.org/obo/GO_0003723	False	1	0.00369185073285494	0.9963081492671451
http://purl.obolibrary.org/obo/GO_0006413	True	1	1.365726872404327e-05	0.999986342731276
http://purl.obolibrary.org/obo/GO_0006413	False	1	0.0003844105371817452	0.9996155894628183
http://purl.obolibrary.org/obo/GO_0006412	True	1	6.572494425483022e-06	0.9999934275055745
http://purl.obolibrary.org/obo/GO_0006412	False	0	0.9845266503565806	0.015473349643419369
http://purl.obolibrary.org/obo/GO_0005829	True	1	5.808029005849313e-06	0.9999941919709942
http://purl.obolibrary.org/obo/GO_0005829	False	0	0.9999999645384564	3.546154363381813e-08
http://purl.obolibrary.org/obo/GO_0022627	True	1	2.1197481098855775e-05	0.9999788025189011
http://purl.obolibrary.org/obo/GO_0022627	False	1	6.783202279869727e-07	0.999999321679772
http://purl.obolibrary.org/obo/GO_0000184	True	1	1.3622573188043496e-05	0.999986377426812
http://purl.obolibrary.org/obo/GO_0000184	False	1	0.0006365267582193468	0.9993634732417807
http://purl.obolibrary.org/obo/GO_0019083	True	1	1.645399889582677e-05	0.9999835460011042
http://purl.obolibrary.org/obo/GO_0019083	False	1	8.416176755510207e-09	0.9999999915838232
http://purl.obolibrary.org/obo/GO_0043229	True	1	3.157156002298045e-06	0.9999968428439977
http://purl.obolibrary.org/obo/GO_0043229	False	0	0.999926675564962	7.332443503804849e-05
